Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,FBI Code,X Coordinate,Community Area,Y Coordinate,Year,Latitude,Updated On,Longitude,Location
HV527660,8854036,10/21/2012 0:30,077XX S GREENWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,624,6,8,18,1184853,69,1853941,2012,41.75437139,10/24/2012 0:39,-87.59813713,"(41.75437138761406, -87.59813713081299)"
HV528433,8854656,10/21/2012 0:30,032XX N HALSTED ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1924,19,44,6,1170321,6,1921499,2012,41.94008479,10/24/2012 0:39,-87.64942045,"(41.940084793145765, -87.64942045321249)"
HV527694,8854045,10/21/2012 0:21,010XX W 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,712,7,16,18,1170692,68,1863085,2012,41.77978401,10/24/2012 0:39,-87.64976621,"(41.77978401416443, -87.64976621434778)"
HV527673,8854043,10/21/2012 0:20,055XX N MILWAUKEE AVE,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,CONVENIENCE STORE,TRUE,FALSE,1622,16,45,22,1136329,11,1936644,2012,41.98232033,10/24/2012 0:39,-87.77398994,"(41.9823203318571, -87.77398993757416)"
HV527668,8854061,10/21/2012 0:20,038XX W HURON ST,2025,NARCOTICS,POSS: HALLUCINOGENS,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1122,11,27,18,1150787,23,1904363,2012,41.89346725,10/24/2012 0:39,-87.72166361,"(41.89346724864645, -87.72166360962476)"
HV527648,8854047,10/21/2012 0:15,003XX E 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,623,6,6,14,1179923,44,1851999,2012,41.74915651,10/23/2012 0:45,-87.61626317,"(41.74915650933235, -87.6162631748232)"
HV527642,8854266,10/21/2012 0:15,082XX S DR MARTIN LUTHER KING JR DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,631,6,6,08B,1180306,44,1850117,2012,41.74398332,10/24/2012 0:39,-87.6149173,"(41.74398331989574, -87.61491730444928)"
HV527652,8854166,10/21/2012 0:15,055XX N MASON AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1622,16,45,6,1135591,11,1936257,2012,41.98127156,10/24/2012 0:39,-87.77671341,"(41.98127156269085, -87.77671341141155)"
HV527646,8854065,10/21/2012 0:15,037XX N CLARK ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,1923,19,44,08B,1167811,6,1925067,2012,41.94993012,10/24/2012 0:39,-87.65854222,"(41.949930121825595, -87.65854222012223)"
HV527661,8854074,10/21/2012 0:15,035XX S DAMEN AVE,2022,NARCOTICS,POSS: COCAINE,GAS STATION,TRUE,FALSE,912,9,11,18,1163633,59,1881405,2012,41.83020737,10/24/2012 0:39,-87.67513116,"(41.83020737098785, -87.67513116351468)"
HV527649,8854075,10/21/2012 0:15,071XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,323,3,6,08B,1179230,69,1857934,2012,41.76545863,10/23/2012 0:45,-87.6186219,"(41.76545862734374, -87.61862189682184)"
HV527657,8856697,10/21/2012 0:10,0000X W TERMINAL ST,810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,FALSE,FALSE,1653,16,41,6,1101810,76,1934379,2012,41.97665323,10/28/2012 0:39,-87.90098814,"(41.976653229289894, -87.90098814066901)"
HV528115,8854741,10/21/2012 0:10,029XX E 101ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,431,4,10,14,1197460,51,1838595,2012,41.71195581,10/24/2012 0:39,-87.55244759,"(41.71195580539867, -87.55244758936045)"
HV527669,8854206,10/21/2012 0:07,007XX N CICERO AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,1111,11,28,24,1144265,25,1904369,2012,41.8936088,10/24/2012 0:39,-87.74561671,"(41.89360880184406, -87.74561671362171)"
HV528264,8854600,10/21/2012 0:01,071XX W PETERSON AVE,820,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,1612,16,41,6,1128059,10,1939432,2012,41.99011504,10/30/2012 0:40,-87.80434221,"(41.99011504286949, -87.80434220558881)"
HV527630,8854053,10/21/2012 0:01,056XX S BISHOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,713,7,16,18,1167581,67,1867539,2012,41.79207363,10/24/2012 0:39,-87.66104388,"(41.79207362896483, -87.66104388001884)"
HV527960,8854329,10/21/2012 0:01,014XX S MILLARD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1011,10,24,7,1152317,29,1892698,2012,41.86142717,10/24/2012 0:39,-87.71635239,"(41.861427165449285, -87.71635239362425)"
HV533556,8859772,10/21/2012 0:01,062XX W FOSTER AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1622,16,45,6,1133481,11,1934237,2012,41.97576586,10/27/2012 0:38,-87.78452107,"(41.97576585925888, -87.7845210707151)"
HV527645,8854104,10/21/2012 0:01,043XX W MC LEAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,2522,25,30,08B,1146954,20,1913306,2012,41.91808189,10/24/2012 0:39,-87.73551209,"(41.918081889798195, -87.73551209344764)"
HV527916,8854296,10/21/2012 0:01,027XX N LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2524,25,35,08B,1151212,22,1917822,2012,41.93039167,10/23/2012 0:45,-87.71974911,"(41.93039167141743, -87.71974910791911)"
HV529046,8855212,10/21/2012 0:00,007XX N PULASKI RD,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1112,11,27,6,1149631,23,1904594,2012,41.89412367,10/24/2012 0:39,-87.72590322,"(41.89412367257984, -87.72590321676307)"
HV527952,8854291,10/21/2012 0:00,060XX W EDDY ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1633,16,38,14,1135477,17,1923022,2012,41.94495548,10/24/2012 0:39,-87.77744845,"(41.94495547723445, -87.777448453504)"
HV535709,8862242,10/21/2012 0:00,079XX S DORCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,411,4,8,14,1186882,45,1852510,2012,41.75039677,10/30/2012 0:40,-87.59074685,"(41.75039676594215, -87.59074684648726)"
